date_q,inflation_index_t+1
2013-01-01,100.03333333333336
2013-04-01,99.73333333333332
2013-07-01,100.36666666666667
2013-10-01,102.03333333333336
2014-01-01,101.43333333333334
2014-04-01,102.43333333333334
2014-07-01,109.0
2015-01-01,99.53333333333336
2015-04-01,101.0
2015-07-01,100.7
2015-10-01,101.36666666666667
2016-01-01,99.93333333333334
2016-04-01,101.43333333333334
2016-07-01,100.9
2016-10-01,101.23333333333332
2017-01-01,101.03333333333336
2017-04-01,101.03333333333336
2017-07-01,100.95
2017-10-01,100.93333333333334
2018-01-01,99.76666666666668
2018-04-01,101.2
2018-07-01,101.1
2018-10-01,100.8
2019-01-01,99.93333333333334
2019-04-01,100.5
2019-07-01,99.9
2020-01-01,100.43333333333334
2020-04-01,99.9
2020-07-01,101.15
2020-10-01,101.2
2021-01-01,100.73333333333332
2021-04-01,100.23333333333332
2021-07-01,102.96666666666664
